,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,J. Lähteenmäki Oy,26.05.2015,
1,Y-tunnus,2691406-2,,
2,Kotipaikka,Akaa,26.05.2015,
3,Yritysmuoto,Osakeyhtiö,26.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.05.2015,,
6,Viimeisin rekisteröintiajankohta,13.02.2023,13.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.05.2015,,
8,Yrityksen tila,Rekisterissä,26.05.2015,
9,Yrityksen tilanne,Konkurssissa,13.02.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Ei,,
12,Yhteystiedot,,29.10.2020,
13,Postiosoite,c/o Yrityspalvelu ProTilit Oy  Kalevantie 9  37800  AKAA  Suomi,,
14,Käyntiosoite,Vuoreksen Puistokatu 76  33870  Tampere  Suomi,,
15,Puhelin,0407099288,,
